"","ID","region","MAT","MAP","ANPP"
"2",2,"IA",22,4360,23
"8",8,"IA",22,4360,21.8
"28",71,"Neo",25.5,2500,10.5
"29",72,"Neo",25.5,2500,12.1
"31",74,"Neo",19.1,2500,11.1
"41",85,"Neo",27.2,1171,11.3
"43",87,"Neo",26.7,2200,12.7
"44",89,"Neo",27,2285,13.6
"57",104,"Neo",27.23,2272,12.6
"66",113,"Neo",26.67,2933,14.9
"67",114,"Neo",26.33,2142,11.8
"68",115,"Neo",26.33,2142,11.9
"77",125,"Neo",27.08,2272,11
"78",126,"Neo",27.08,2272,10.6
"81",139,"Neo",26.96,2314,12.2
"82",141,"Neo",26.96,2314,15.8
"83",142,"Neo",26.96,2314,13.9
"87",170,"Neo",26.7,1750,8.2
"92",176,"Neo",26.7,2300,12.8
"102",191,"Neo",26,2083,10.53
"103",192,"Neo",26,2083,12.3
"104",193,"Neo",26,2083,11.9
"107",198,"Neo",26.88,2314,13.5
"108",199,"Neo",26.88,2314,15
"122",262,"IA",21.8,1493,14.8
"139",282,"IA",22.1,1771,12.5
"140",283,"IA",18.5,1749,13
"141",284,"IA",21.7,1487,15.1
"143",286,"Neo",23.7,6885,17.4
"152",296,"Neo",22.7,2078,14.6
"153",297,"Neo",25.5,2828,7.9
"155",300,"Neo",26.34,2888,14.5
"156",301,"Neo",26.34,2888,15
"163",310,"Neo",19,4437,12.6
"171",318,"Neo",25.8,4300,12.2
"172",319,"Neo",25.8,4300,12
"186",375,"Neo",28,5750,22.1
"187",376,"Neo",28,5750,29.2
"197",390,"AF",26.2,2350,16.3
"198",395,"AF",26.2,2350,14.8
"199",396,"AF",26.2,2350,12.9
"204",416,"Neo",19.4,2230,10.6
"205",417,"Neo",17.5,2300,8.9
"206",418,"Neo",15.7,1950,9.2
"207",420,"Neo",13.2,5000,3.9
"208",421,"Neo",9.4,4500,2.8
"238",467,"Neo",26.06,3476,18.6
"239",468,"Neo",26.06,3476,16.3
"240",470,"Neo",26.3,3041,12.54
"243",480,"Neo",26,3450,12.9
"288",562,"IA",18,4800,4.2
"289",563,"IA",27,5310,10.5
"290",564,"IA",28.6,6100,13.2
"291",565,"IA",26.5,6520,12.9
"292",566,"IA",22.2,7670,15.3
"297",571,"IA",26.6,2800,10.2
"298",572,"IA",24.6,3200,11.9
"299",573,"IA",26.6,2800,8.5
"300",574,"IA",25.6,3000,11.6
"301",575,"IA",27,821,7.7
"302",576,"IA",27,821,2.9
"303",577,"IA",27,821,3.5
"304",578,"IA",25,1247,9.2
"305",579,"IA",25,1247,8.9
"306",580,"IA",25,1247,7.4
"307",581,"IA",25,1247,7.2
"309",583,"IA",20.8,3534,13.1
"311",585,"IA",27.5,3600,13.9
"313",587,"IA",25,1862,16.2
"325",599,"IA",27,4800,20
"337",611,"Neo",15.5,2200,10
"338",612,"Neo",15.5,2200,6.5
"339",613,"Neo",15.5,2200,7.6
"340",614,"Neo",15.5,2200,7.6
"359",652,"IA",27,3400,15
"362",655,"IA",23,2100,13.1
"363",656,"IA",23,2509,17.1
"364",657,"IA",16.7,2509,8.1
"365",658,"IA",10.1,2714,2
"366",659,"IA",12,3285,7.3
"367",660,"IA",9.9,2085,8.2
"368",661,"IA",23.3,2509,19.1
"369",662,"IA",18.3,2509,12.2
"370",663,"IA",12.6,3285,7.8
"388",683,"IA",18.3,2600,6
"389",684,"IA",18.3,2600,11.9
"390",685,"IA",18.3,2600,4.9
"391",686,"IA",18.3,2600,8.5
"392",687,"IA",18.3,2380,9.3
"393",688,"IA",18.3,2380,10.8
"395",690,"Neo",24.9,707,5.3
"396",691,"Neo",24.9,707,5.5
"397",692,"Neo",24.9,707,6.4
"398",693,"Neo",24.9,707,7.1
"399",694,"Neo",24.9,707,9.5
"417",716,"Neo",20.2,7246,11.6
"430",730,"Neo",26.26,2912,13.8
"435",738,"Neo",26.11,2912,18
"438",742,"IA",13,3985,11.4
"443",749,"Neo",26.81,2631,23
"452",765,"Neo",25.2,2730,16.6
"453",766,"Neo",25.19,2730,15.4
"457",771,"Neo",25.16,2730,14.9
"472",788,"Neo",26.81,2631,18.9
"473",789,"Neo",26.69,2715,23.7
"477",813,"Neo",11.8,1776,4.4
"478",814,"Neo",17.4,1827,4.5
"479",815,"Neo",18,2472,4.5
"480",816,"Neo",12.5,1700,6.2
"481",817,"Neo",13.5,2318,6.8
"482",818,"Neo",20.7,3087,7.7
"483",819,"Neo",18.8,2631,8.8
"502",852,"IA",27.2,1100,5.8
"507",858,"IA",27,3440,10.5
"508",859,"IA",27,2060,21.8
"511",866,"Neo",23,3500,13.9
"512",867,"Neo",20.9,4300,9.8
"513",868,"Neo",21,3500,12
"514",869,"Neo",24.8,1240,10.1
"515",870,"Neo",20.9,3590,7.4
"516",871,"Neo",20.9,4300,5.7
"517",872,"Neo",13,4300,5.8
"518",874,"Neo",16,4300,2.8
"519",875,"Neo",20,5800,4
"520",878,"Neo",16.5,2200,9.5
"521",879,"Neo",16.5,2450,10.5
"522",880,"Neo",16.5,2750,9.3
"523",881,"Neo",16.5,3350,9.2
"524",882,"Neo",16.5,4050,7.1
"525",883,"Neo",16.5,5050,4.1
"526",886,"Neo",26,930,2
"531",892,"Neo",18.6,4400,9
"532",893,"Neo",19,4400,3.8
"534",896,"Neo",15.6,2500,8.9
"535",897,"Neo",16,2500,8.9
"536",898,"Neo",16,2500,5.4
"537",899,"Neo",16,2500,9.4
"538",900,"Neo",16,2500,14
"542",904,"Neo",23.1,4500,4
"551",913,"Neo",16,2500,10.54
"552",914,"Neo",16,2500,9.7
"553",915,"Neo",16,2500,8.02
"558",920,"Neo",12.6,1500,11
"571",933,"Neo",26.02,3178,9.1
"577",944,"Neo",26,3500,14.9
"579",1000,"EMDI",-9.8,175,2.105263158
"580",1001,"EMDI",-4.6,405,6.105263158
"581",1002,"EMDI",-3.8,430,3.157894737
"582",1003,"EMDI",-3.5,419,6.315789474
"583",1004,"EMDI",-0.3,374,5.263157895
"584",1005,"EMDI",-0.2,371,3.789473684
"585",1006,"EMDI",-0.2,964,1.894736842
"586",1007,"EMDI",-0.1,371,10.10526316
"587",1008,"EMDI",0.3,373,8
"588",1009,"EMDI",2.7,693,8.631578947
"589",1010,"EMDI",2.7,693,8.989473684
"590",1011,"EMDI",2.8,706,12
"591",1012,"EMDI",2.8,704,8.210526316
"592",1013,"EMDI",2.8,701,7.578947368
"593",1014,"EMDI",2.8,379,8.842105263
